#Servidor TCP 3
#tempo     Bandwidth (Mbist/sec)
#Arquivo por UDP de 50 MB
1  9.35 
2  9.57 
3  9.55 
4  9.57 
5  5.54 
6  3.22 
7  2.46 
8  2.06 
9  1.04 
10  0.00 
11  0.00 
12  0.00 
13  0.00 
14  0.00 
15  0.00 
16  0.00 
17  0.00 
18  0.00 
19  0.00 
20  0.00 
21  0.00 
22  0.00 
23  0.00 
24  0.00 
25  0.00 
26  0.00 
27  0.00 
28  0.00 
29  0.00 
30  0.00 
31  0.00 
32  0.00 
33  0.00 
34  0.00 
35  0.00 
36  0.00 
37  0.00 
38  0.00 
39  0.00 
40  0.00 
41  0.00 
42  0.00 
43  0.00 
44  0.00 
45  0.00 
46  0.00 
47  0.00 
48  0.985
49  8.73 
50  9.55 
51  9.57 
52  9.57 
53  9.57 
54  9.57 
55  9.57 
56  9.55 
57  9.57 
58  9.57 
59  9.57 
60  9.55 
